501704,CEYS COLA BLANCA MADERA BOTE 1KG,8411519252026,8,"4,86","5,85",cola blanca,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/COLA BLANCA_02/501704_COLA BLANCA_MADERA BOTE.jpg
501705,CEYS COLA BLANCA MADERA BOTE BA 5KG,8411519250244,1,"18,07","21,85",cola blanca,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/COLA BLANCA_02/501705_COLA BLANCA_MADERA BOTE BA.jpg
501706,CEYS COLA BLANCA MADERA BOTE BE 5KG,8411519252071,1,"18,81","22,75",cola blanca,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/COLA BLANCA_02/501706_COLA BLANCA_MADERA BOTE BE.jpg
501707,CEYS COLA BLANCA MADERA BOTE 25KG,8411519250251,1,"75,76","91,65",cola blanca,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/COLA BLANCA_02/501707_COLA BLANCA_MADERA BOTE.jpg
503401,CONTACTCEYS BLISTER 30ML,8411519230116,24,"1,41","1,7",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503401_CONTACTCEYS_USO GENERAL BLISTER PEQUEÑO.jpg
503402,CONTACTCEYS BLISTER 70ML,8411519230123,12,"2,25","2,75",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503402_CONTACTCEYS_USO GENERAL BLISTER GRANDE.jpg
503505,CONTACTCEYS SUPER RESISTENTE TUBO 170ML,8411519237054,12,"3,24","3,9",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503505_CONTACTCEYS_SUPER RESISTENTE ESTUCHE.jpg
503502,CONTACTCEYS SUPER RESISTENTE BOTE 1L,8411519237016,8,"8,09","9,8",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503502_CONTACTCEYS_SUPER RESISTENTE BOTE.jpg
503415,CONTACTCEYS SPRAY CONTROL 400ML,8411519734157,6,"10,99","13,3",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503415_CONTACTCEYS_USO GENERAL SPRAY CONTROL.jpg
503417,CONTACTCEYS PINCEL 250ML,8411519734126,6,"4,59","5,55",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503417_CONTACTCEYS_USO GENRAL BOTE PINCEL.jpg
503418,CONTACTCEYS PINCEL 500ML 6U,8411519734133,6,"6,38","7,7",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503418_CONTACTCEYS_USO GENERAL BOTE PINCEL.jpg
503404,CONTACTCEYS BOTE 125 ML,8411519232097,24,"1,84","2,2",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503404_CONTACTCEYS_USO GENERAL BOTE.jpg
503416,CONTACTCEYS BOTE 1/4L,8411519232011,12,"2,6","3,15",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503416_CONTACTCEYS_USO GENERAL BOTE.jpg
503406,CONTACTCEYS BOTE 1/2L,8411519232028,12,"4,4","5,3",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503406_CONTACTCEYS_USO GENRAL BOTE.jpg
503407,CONTACTCEYS BOTE 1L,8411519232035,8,"6,85","8,3",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503407_CONTACTCEYS BOTE 1l.jpg
503408,CONTACTCEYS BOTE BA 5L,8411519232042,1,"28,32","34,25",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503408_CONTACTCEYS_USO GENERAL BOTE BA.jpg
503409,CONTACTCEYS BOTE BE 5L,8411519232066,1,"28,32","34,25",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503409_CONTACTCEYS_USO GENRAL BOTE BE.jpg
503410,CONTACTCEYS BOTE 25L,8411519232059,1,"132,96","160,9",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503410_CONTACTCEYS_USO GENERAL BOTE_1.jpg
503601,CONTACTCEYS TRANSPARENTE BLISTER 30ML,8411519231038,24,"1,41","1,7",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503601_CONTACTCEYS_TRANSPARENTE BLISTER PEQUEÑO.jpg
503602,CONTACTCEYS TRANSPARENTE BLISTER 70ML,8411519231052,12,"2,25","2,75",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503602_CONTACTCEYS_TRANSPARENTE BLSITER GRANDE.jpg
503610,CONTACTCEYS TRANSPARENTE TUBO 170ML,8411519236071,12,"3,3",4,cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503610_CONTACTCEYS_TRANSPARENTE ESTUCHE.jpg
503301,CONTACTCEYS POLIEST.EXPANDIDO TTE 1/2L,8411519556018,12,"4,81","5,85",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503301_CONTACTCEYS_POREX TRANSPARANTE BOTE.jpg
503302,CONTACTCEYS POLIEST.EXPANDIDO TTE 1L,8411519551013,8,"7,83","9,5",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503302_CONTACTCEYS_TRANSPARENTE BOTE.jpg
503420,CONTACTCEYS EPDM BOTE 1L,8411519734201,8,"8,43","10,2",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503420_CONTACTCEYS_ESPECIAL EPDM BOTE.jpg
503421,CONTACTCEYS EPDM BOTE 5L BA,8411519734218,1,"34,15","41,3",cola de contacto,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/CONTACTCEYS_02/503421_CONTACTCEYS_ESPECIAL EPDM BOTE BA.jpg
501027,PLASTICCEYS BLISTER 30ML 6U,8411519290011,6,"2,68","3,25",adhesivos especificos,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS ESPECIÍFICOS_02/501027_ESPECIFICOS_PLÁSTICOS RÍGIDOS BLISTER.jpg
501028,VINILCEYS BLISTER 15ML  6U,8411519280012,6,"2,87","3,5",adhesivos especificos,http://h2830758.stratoserver.net/DAM GENERAL/FOTOS BAJA/ADHESIVOS ESPECIÍFICOS_02/501028_ESPECÍFICOS_VINILOS BLISTER.jpg
