header,title,descripcion,marca,categoria,ean,peso,unidades,precio,imagen
Kit-taladro-percutor/atornillador-20v-con-2-baterias-2.0-ah-y-cargador-koma-tools-pro-series-battery-edm,Kit taladro percutor/atornillador 20v con 2 baterias 2.0 ah y cargador koma tools pro series battery edm,"Kit taladro percutor/atornillador de bateria li-on de 20v y 2,0 ah - 2 velocidades variables ( velocidad 1  de 0 a 450  rpm - velocidad 2 de 0 a 1750 rpm ) - función percutor ( velocidad 1 de 0 a 9000 ipm  - velocidad 2 de 0 a 32400 ) - rotación izquierda/derecha -  portabrocas metalico sin llave de ø 13 mm - luz led para iluminar el punto de trabajo - soporte para colgar en el cinturon - 19 posiciones de apriete ajustable (max. 50n.m) + 1 posicion de taladro + 1 posicion de percutor - presentacion en maletin de transporte (34,5 x 30,5 x 10,3 cm) - incluye : taladro + 2 baterias li-on de 20v y 2,0 ah carga en 60 minutos + 1 cargador 60w 100-240v 2,3a + brocas para madera  ( nº 4, 5, 6 mm )  + brocas para metal ( nº 2, 2,5, 3, 4, 5 y 6 ) - 32 puntas para atornillar + 1 portapuntas imantado - edm",KOMA TOOLS,Herramientas eléctricas,8425998087505,4498,761,159.95,https://api.elektro3.com/images/products/08750.jpg
Taladro-atornillador-20v-brushless-(sin-bateria-y-cargador)-portabrocas-ø10mm-koma-tools-pro-series-battery-edm,Taladro atornillador 20v brushless (sin bateria y cargador) portabrocas ø10mm koma tools pro series battery edm,"Taladro atornillador de bateria li-on de 20v y 2,0 ah brushless (sin escobillas) - sin bateria y cargador - 2 velocidades variables ( velocidad 1 de 0 a 500 rpm - velocidad 2 de 0 a 1800 rpm ) - rotación izquierda/derecha - portabrocas sin llave de ø 10 mm - luz led para iluminar el punto de trabajo - soporte para colgar en el cinturon - 19 posiciones de apriete ajustable (max.45n.m) + 1 posicion de taladro - dimensiones: 18,5x19,6 cm - edm",KOMA TOOLS,Herramientas eléctricas,8425998087512,1102,792,79.95,https://api.elektro3.com/images/products/08751.jpg
Amoladora-20v-(sin-bateria-y-cargador)--koma-tools-pro-series-battery-edm,Amoladora 20v (sin bateria y cargador)  koma tools pro series battery edm,"Amoladora de bateria li-on de 20v - sin bateria y cargador - 9500 rpm - protector para disco de ø115mm (disco no incluido) - interruptor de seguridad - dimensiones : 28,9 x 23,9 cm - para un funcionamiento optimo de este artículo se aconseja utilizar una batería ref. 08771 - accesorios : mango adicional + 1 llave para canviar el disco - edm",KOMA TOOLS,Herramientas eléctricas,8425998087529,1960,863,69.95,https://api.elektro3.com/images/products/08752.jpg
Lijadora-20v-(sin-bateria-y-cargador)--koma-tools-pro-series-battery-edm,Lijadora 20v (sin bateria y cargador)  koma tools pro series battery edm,"Lijadora de bateria li-on de 20v y 2,0 ah - sin bateria y cargador - 1 velocidad de 0 a 12000 rpm - mango ergonomico de tacto suave antivibracion - suela de velcro - dimensiones : 20,4 x 15,5 cm - accesorios : filtro recoge polvo + 2 lijas p80 - edm",KOMA TOOLS,Herramientas eléctricas,8425998087536,1042,766,34.95,https://api.elektro3.com/images/products/08753.jpg
Caladora-20v-(sin-bateria-y-cargador)--koma-tools-pro-series-battery-edm,Caladora 20v (sin bateria y cargador)  koma tools pro series battery edm,"Caladora de bateria li-on de 20v y 2,0 ah - sin bateria y cargador - 1 velocidad en vacio variable de 0 a 2300 rpm - maxima capacidad de corte madera 65 mm y metal 8 mm - mango ergonomico de tacto suave antivibracion - dimensiones : 23 x 21.5 cm - interruptor de seguridad - luz led para iluminar el punto de trabajo - 3 posiciones de balanceo de hoja - sistema de cambio rapido de sierra de corte - accesorios : 1 guia de corte + 1 sierra incluida + boquilla de conexión de aspirador - edm",KOMA TOOLS,Herramientas eléctricas,8425998087543,2224,365,79.95,https://api.elektro3.com/images/products/08754.jpg
Foco-proyector-led-20w-1800-lumens-20v-(sin-bateria-y-cargador)--koma-tools-pro-series-battery-edm,Foco proyector led 20w 1800 lumens 20v (sin bateria y cargador)  koma tools pro series battery edm,"Foco proyector led cob 20w de bateria li-on 20v dc - sin bateria y cargador - cuerpo de aluminio - indice de reproduccion cromatica ( cri ) >80 - tipo de luz fria 6500k - angulo de apertura 120º - ip20 - 2 intensidades de luz : 900 lm / 1800 lm - pie regulable - (duracion hasta 3.5h con bateria 2.0ah // 7h con bateria de 4.0ah) - dimensiones : 22,8 x 22,8 - edm",KOMA TOOLS,Herramientas eléctricas,8425998087550,1496,235,54.95,https://api.elektro3.com/images/products/08755.jpg
Aspiradora-20v-(sin-bateria-y-cargador)--koma-tools-pro-series-battery-edm,Aspiradora 20v (sin bateria y cargador)  koma tools pro series battery edm,"Aspirador de bateria li-on de 20v dc - sin bateria y cargador - aspiracion 3,8 kpa - capacidad del deposito de polvo en seco 500 ml - mango ergonomico de tacto suave - dimensiones : 45,5 x 13,5 cm - accesorios : boquilla fina  + cepillo mediano + cepillo de suelo + tubo de extension - edm",KOMA TOOLS,Herramientas eléctricas,8425998087567,1658,323,69.65,https://api.elektro3.com/images/products/08756.jpg
Bateria-litio-20v-2.0-ah-koma-tools-pro-series-battery-edm,Bateria litio 20v 2.0 ah koma tools pro series battery edm,"Bateria li-on de 20v 2,0 ah - con indicador de carga - tiempo de carga 30 minutos con cargador 125w referencia 08773 y 60 minutos con cargador 60w referencia 08772 - dimensiones : 11,7 x 7,5 x 6,3 cm - totalmente compatible entre toda la gama koma tools - edm",KOMA TOOLS,Herramientas eléctricas,8425998087703,444,1000,44.95,https://api.elektro3.com/images/products/08770.jpg
Bateria-litio-20v-4.0-ah-koma-tools-pro-series-battery-edm,Bateria litio 20v 4.0 ah koma tools pro series battery edm,"Bateria li-on de 20v 4,0 ah - con indicador de carga - tiempo de carga 60 minutos con cargador 125w referencia 08773 y 120 minutos con cargador 60w referencia 08772 - dimensiones : 11,7 x 7,5 x 6.3 cm - totalmente compatible entre toda la gama koma tools - edm",KOMA TOOLS,Herramientas eléctricas,8425998087710,720,0,69.95,https://api.elektro3.com/images/products/08771.jpg
Cargador-bateria-60w-koma-tools-pro-series-battery-edm,Cargador bateria 60w koma tools pro series battery edm,"Cargador de bateria 60w 2,3a - voltaje: 100-240 v - tiempo de carga 60 minutos bateria de 2 ah y 120 minutos bateria de 4 ah - edm",KOMA TOOLS,Herramientas eléctricas,8425998087727,460,529,19.95,https://api.elektro3.com/images/products/08772.jpg
